1最美的不是下雨天是曾与你躲过雨的屋檐Jay2014-04-11_07:06:540
2相信有梦能到达的地方有一天，脚步也能到达LAZY2014-04-11_08:26:300
3你知道就算大雨让这座城市颠倒我也会给你怀抱Soda green2014-04-11_08:33:240
4原谅我这一生不羁放纵爱自由也会怕有一天会跌倒BEYOND2014-04-11_09:07:220
5再美的花朵盛开不就凋落GEM2014-04-11_09:07:500
6得不到的永远在骚动被偏爱的都有恃无恐Eason2014-04-11_09:08:140
10为什么这么多bug我真的很无奈加贝贝贝2014-04-11_09:58:110
8好好学习天天向上毛泽东2014-04-11_09:44:090
9多少天长地久  有几回细水长流我们是对方  特别的人  方大同2014-04-11_09:48:170
11有过的信念 都输给了时间像落叶卷入风里面任然2014-04-11_10:00:410
15太阳当空照，花儿对我笑小鸟说早早早，你为什么背着炸药包2b2014-04-11_10:35:330
16准备添加侧边栏还有删除功能管理员2014-04-12_06:22:580
17＊＊的加贝依然是这么的高大威猛王克纯2014-04-12_08:41:420
19天才在左疯子在右。LY2014-04-13_04:23:070
21奋斗到凌晨五点终于完成了侧边栏的制作休息2014-04-13_05:02:380
22基佬加贝最爱搞基2014-04-13_09:47:440
23加贝威武加贝强大你猜？2014-04-13_11:15:080
24说好的删除功能呢 我怎么没找到但是侧边栏做的还是很不错的~~大美女2014-04-13_11:17:320
27sdklfjsdklfjksdfjsdfkljklskldjfklsdjfklsjdklfjklskldfjklsjdfklsjdklfjklsdkjf2014-04-14_01:49:571
28加几条语句用来测试删除功能删删删！！！！！！！！程序猿2014-04-14_01:50:391
30删除功能正式上线。点击侧边栏中的小齿轮即可~JailBreak2014-04-14_04:21:550
31我在做题目你在干什么~~~2014-04-15_02:08:380
32吃饭，敲代码，睡觉，吃放，敲代码，睡觉为什么就到了星期四！！！感觉一周比一天还快2014-04-17_06:34:330
33前端还是后端，前端还是后端。HTML5还是android好纠结2014-04-17_06:36:080
34优化了一下代码结构思考了一下人生JailBreak_C2014-04-17_06:38:080
35一天一天浪费一夜一夜颓废loser2014-04-17_11:50:450
36“逗比”是很可爱的意思陈加贝是个“逗比”秦叔宝2014-04-18_08:36:550
37儿时觉得什么都懂现在看什么都陌生白富美2014-04-18_08:41:510
38每个人心中只有一个宝贝黄义达2014-04-18_09:37:130
39有点晕晕的~我更希望你阻止我~╮(╯▽╰)╭2014-04-19_09:08:330
40吃完饭不知道干嘛你在比赛了吗~~2014-04-20_12:51:121
41原谅我这一生放荡不羁爱吹牛.LY2014-04-20_06:43:140
42陈加贝你妈妈叫你回家吃饭热心的网友2014-04-20_06:47:460
43情绪低落累觉不爱fuck2014-04-21_07:20:460
44这样岂不是太孤单太悲哀？纵然错了，失落了，怎么能就这样放弃。“2014-04-21_07:54:250
45比你聪明的比你努力，没你努力的家里比你有钱。哪里有心情悠闲。LLLLLLLLLLLLLYYYYYYYYYYYYY2014-04-22_02:36:460
46@热心的网友你妈妈喊你回家吃饭热心的管理员2014-04-22_02:55:370
47你必须非常努力才能看起来毫不费力@JailBreak2014-04-22_03:02:430
48休息休息x休息休息休息下2014-04-22_11:20:531
49xxxxxxxxx2014-04-26_09:03:401
50Leave me aloneGet out of my faceI'm tired in *2014-04-28_08:07:030
51I need focus my attention on somethingThe thing I truly like.me2014-04-28_08:16:160
52If I gonna be beaten down to the groundI will stand up againam I?2014-04-28_08:19:080
53The things seem extraordinarylet's do it!do it!2014-04-28_08:21:400
54用电视加一条 啊CC2014-05-03_10:19:391
55when you are waiting you are losing有些东西就是不能等JailBreak2014-05-07_10:13:370
56cccccccc2014-05-13_01:42:041222.243.162.61
57测试地址记录信息测试地址记录信息测试地址记录信息2014-05-13_02:13:201222.243.162.61中国湖南省湘潭市&nbsp;电信
58使用AJAX实现无刷新登录功能测试账户admin密码123456注册功能暂不开放2014-05-15_12:05:241222.243.162.61中国湖南省湘潭市&nbsp;电信
59sdfsfsfafssdfasfasdfa2014-05-15_12:12:591222.243.160.172中国湖南省湘潭市&nbsp;电信
60刘小芳是个傻逼大傻逼。。。2014-05-29_05:09:561222.243.162.74中国湖南省湘潭市&nbsp;电信
61哎哎哎，很不错啊啊哈哈哈哈方方2014-06-20_09:11:000211.138.232.98&nbsp;
62你总说毕业遥遥无期转眼间就各奔东西jailbreak2014-06-24_07:32:500222.243.160.58中国湖南省湘潭市&nbsp;电信
63It has always been said that graduation is still ibut drifting apart is just in the blink of an eye.jailbreak2014-06-24_07:35:110222.243.160.58中国湖南省湘潭市&nbsp;电信
64啊哈哈哈啊啊啊哈啊2014-06-27_09:36:431211.138.232.98中国湖南省长沙市&nbsp;移动
65用自己的身份证就可以查全班的成绩 尊重别人的隐私好吗xx2014-06-27_10:20:391112.5.249.137中国福建省福州市&nbsp;移动
66制兹八拍兮拟排忧何知曲成兮心转愁⑦2014-06-28_06:24:021118.251.130.63中国湖南省湘潭市&nbsp;电信
67From zero to hero.加油！涛哥2014-06-29_06:45:400211.138.232.66中国湖南省长沙市&nbsp;移动
68我要让全世界知道这块臭豆腐被我承包了！Mark Jackson2014-06-29_06:47:340211.138.232.66中国湖南省长沙市&nbsp;移动
69看到右边那小坨云了没感觉自己萌萌哒夏兰荇德流2014-06-29_06:50:280211.138.232.66中国湖南省长沙市&nbsp;移动
70这网站做的真不错..界面简洁。排版漂亮。对查成绩的童鞋来说真的好方便。顶住压力，说实话学校不应该鼓励这种创新吗？风/shuai云2014-06-30_09:49:270118.251.128.203中国湖南省湘潭市&nbsp;电信
71你有点屌啊~~~~我看好你你的副部2014-07-01_01:09:350123.151.23.46中国天津市&nbsp;电信
72vgee不错我也想弄个网站玩玩by：zhwei2014-07-02_10:13:570175.1.197.69中国湖南省湘潭市&nbsp;电信
73不错！加油支持你！笨笨人2014-07-03_05:05:470110.52.102.184中国湖南省邵阳市&nbsp;联通
74留校的日子好无奈啊。孤单寂寞冷。JailBreak2014-07-05_09:01:430222.243.160.172中国湖南省湘潭市&nbsp;电信
76么么韩小可可2014-07-06_09:20:10049.85.8.138中国江苏省泰州市&nbsp;电信
77cool愿带着年轻的心一直努力下去turely2014-07-07_04:43:280218.75.221.123中国湖南省株洲市&nbsp;电信
78科大计院迎新页第一次尝试复刻出一个如此高大上的设计kd.vgee.cn2014-07-09_10:22:300222.243.160.58&nbsp;
79高端，怎么做到在移动设备上的排版依然漂亮的崇拜你的人2014-07-10_08:42:240123.151.172.61中国新疆乌鲁木齐市&nbsp;电信
80哈哈~~~你认识赵龙吗？OMG princess2014-07-12_08:53:460223.151.42.91中国湖南省常德市&nbsp;电信
81赵龙是我室友。常德boyJailBreak2014-07-13_11:14:431113.245.90.15中国湖南省株洲市&nbsp;电信
82"<script>alert('shit')</script>ssss2014-08-01_10:20:411222.243.160.172中国湖南省湘潭市&nbsp;电信
83</h1><script>alert('shit')</script><h1>33332014-08-01_10:21:471222.243.160.172中国湖南省湘潭市&nbsp;电信
84是的范德萨水电费速度速度发送到2014-10-08_05:40:071222.243.162.61中国湖南省湘潭市&nbsp;电信
86<script>alert('xss')</script><script>alert('xss')</script><script>alert('xss')</script>2014-10-09_09:12:491222.243.160.61中国湖南省湘潭市&nbsp;电信
